---	full
PF16804.5	O94972
PF02520.17	O94972
PF01853.18	O95251
PF17772.1	O95251
PF01530.18	O95251
PF13508.7	O95251
PF12874.7	O95251
PF13765.6	O95361
PF00622.28	O95361
PF00643.24	O95361
PF03366.16	O95619
PF11365.8	O95619
PF07889.12	O95619
PF04977.15	O95619
PF07061.11	O95619
PF00702.26	O95677
PF13832.6	O95696
PF10513.9	O95696
PF13771.6	O95696
PF00439.25	O95696
PF00855.17	O95696
PF13831.6	O95696
PF00628.29	O95696
PF13476.6	O95696
PF00022.19	O96019
PF06723.13	O96019
PF03389.15	O96019
PF00069.25	P05771
PF07714.17	P05771
PF00130.22	P05771
PF00168.30	P05771
PF00433.24	P05771
PF03107.16	P05771
PF14531.6	P05771
PF12330.8	P05771
PF15627.6	P05771
PF01636.23	P05771
PF16866.5	P05771
PF02318.16	P05771
PF00628.29	P05771
PF05712.13	P0C860
PF17748.1	P0C860
PF13897.6	P0C860
PF01586.16	P15172
PF12232.8	P15172
PF00010.26	P15172
PF00170.21	P15336
PF07716.15	P15336
PF03131.17	P15336
PF00096.26	P15336
PF03044.14	P15336
PF12940.7	P15918
PF12560.8	P15918
PF10426.9	P15918
PF00097.25	P15918
PF13923.6	P15918
PF14835.6	P15918
PF13639.6	P15918
PF15227.6	P15918
PF16685.5	P15918
PF13445.6	P15918
PF11789.8	P15918
PF12678.7	P15918
PF00069.25	P17252
PF07714.17	P17252
PF00130.22	P17252
PF00168.30	P17252
PF00433.24	P17252
PF03107.16	P17252
PF12330.8	P17252
PF01636.23	P17252
PF14531.6	P17252
PF00628.29	P17252
PF02318.16	P17252
PF13901.6	P17252
PF00178.22	P17947
PF08944.11	P17947
PF00134.23	P20248
PF16500.5	P20248
PF02984.19	P20248
PF09666.10	P20248
PF01269.17	P22087
PF08704.10	P22087
PF01135.19	P22087
PF01728.19	P22087
PF01189.17	P22087
PF00076.22	P23246
PF08075.11	P23246
PF16367.5	P23246
PF00069.25	P24941
PF07714.17	P24941
PF12330.8	P24941
PF14531.6	P24941
PF01636.23	P24941
PF00131.20	P25713
PF00051.18	P26927
PF00089.26	P26927
PF00024.26	P26927
PF09342.11	P26927
PF14295.6	P26927
PF00178.22	P28324
PF08429.11	P29375
PF02373.22	P29375
PF00628.29	P29375
PF01388.21	P29375
PF02375.17	P29375
PF02928.16	P29375
PF13831.6	P29375
PF06229.12	P29375
PF16207.5	P35226
PF13923.6	P35226
PF00097.25	P35226
PF13639.6	P35226
PF13920.6	P35226
PF14634.6	P35226
PF12678.7	P35226
PF14447.6	P35226
PF13445.6	P35226
PF15227.6	P35226
PF16685.5	P35226
PF11789.8	P35226
PF03854.14	P35226
PF17121.5	P35226
PF16207.5	P35227
PF13923.6	P35227
PF00097.25	P35227
PF13639.6	P35227
PF13920.6	P35227
PF12678.7	P35227
PF14634.6	P35227
PF13445.6	P35227
PF15227.6	P35227
PF14447.6	P35227
PF11789.8	P35227
PF12861.7	P35227
PF11976.8	P35227
PF16685.5	P35227
PF14570.6	P35227
PF01145.25	P35232
PF11214.8	P35232
PF14123.6	P35232
PF08429.11	P41229
PF02373.22	P41229
PF01388.21	P41229
PF02375.17	P41229
PF02928.16	P41229
PF00628.29	P41229
PF16744.5	P41229
PF02318.16	P41229
PF16866.5	P41229
PF01398.21	P46736
PF18110.1	P46736
PF14464.6	P46736
PF03665.13	P46736
PF00179.26	P49459
PF05773.22	P49459
PF14461.6	P49459
PF05743.13	P49459
PF17589.2	P49459
PF02969.17	P49848
PF07571.13	P49848
PF02291.15	P49848
PF07524.13	P49848
PF02269.16	P49848
PF00125.24	P49848
PF08769.11	P49848
PF03099.19	P50747
PF02237.17	P50747
PF09825.9	P50747
PF09169.10	P51587
PF00634.18	P51587
PF09104.10	P51587
PF09103.10	P51587
PF09121.10	P51587
PF17288.2	P51587
PF13854.6	P51610
PF13415.6	P51610
PF13418.6	P51610
PF01344.25	P51610
PF13964.6	P51610
PF07646.15	P51610
PF00041.21	P51610
PF00179.26	P51965
PF05773.22	P51965
PF14461.6	P51965
PF10500.9	P51965
PF15376.6	P51965
PF02178.19	P52926
PF13832.6	P55201
PF10513.9	P55201
PF13771.6	P55201
PF00439.25	P55201
PF00855.17	P55201
PF13831.6	P55201
PF00628.29	P55201
PF03107.16	P55201
PF00018.28	P55345
PF14604.6	P55345
PF07653.17	P55345
PF05175.14	P55345
PF13649.6	P55345
PF06325.13	P55345
PF08241.12	P55345
PF02475.16	P55345
PF13847.6	P55345
PF13489.6	P55345
PF12847.7	P55345
PF05185.16	P55345
PF03848.14	P55345
PF13578.6	P55345
PF08242.12	P55345
PF04857.20	P55345
PF00850.19	P56524
PF12203.8	P56524
PF03153.13	P56524
PF00179.26	P61088
PF14461.6	P61088
PF05743.13	P61088
PF05773.22	P61088
PF00400.32	P61964
PF12894.7	P61964
PF11715.8	P61964
PF08662.11	P61964
PF17005.5	P61964
PF16529.5	P61964
PF16756.5	P61964
PF11768.8	P61964
PF08553.10	P61964
PF07569.11	P61964
PF03498.14	P61964
PF17882.1	P61964
PF08801.11	P61964
PF00179.26	P63146
PF05773.22	P63146
PF05743.13	P63146
PF03931.15	P63208
PF01466.19	P63208
PF16616.5	P78364
PF00536.30	P78364
PF07647.17	P78364
PF02198.16	P78364
PF11706.8	P78364
PF06467.14	P78364
PF00808.23	Q01658
PF00125.24	Q01658
PF15510.6	Q01658
PF12140.8	Q01658
PF15969.5	Q01658
PF05965.14	Q03164
PF00856.28	Q03164
PF00628.29	Q03164
PF05964.14	Q03164
PF02008.20	Q03164
PF13771.6	Q03164
PF13832.6	Q03164
PF00439.25	Q03164
PF13831.6	Q03164
PF16866.5	Q03164
PF13054.6	Q03164
PF00069.25	Q05655
PF07714.17	Q05655
PF00130.22	Q05655
PF00433.24	Q05655
PF03107.16	Q05655
PF14531.6	Q05655
PF08746.11	Q05655
PF16744.5	Q05655
PF12330.8	Q05655
PF13901.6	Q05655
PF00628.29	Q05655
PF17667.1	Q05655
PF12773.7	Q05655
PF01636.23	Q05655
PF02318.16	Q05655
PF10080.9	Q05655
PF18804.1	Q05655
PF08063.12	Q05655
PF14446.6	Q05655
PF07282.11	Q05655
PF16207.5	Q06587
PF13923.6	Q06587
PF00097.25	Q06587
PF13639.6	Q06587
PF13920.6	Q06587
PF13445.6	Q06587
PF14634.6	Q06587
PF15227.6	Q06587
PF11789.8	Q06587
PF14835.6	Q06587
PF14570.6	Q06587
PF12678.7	Q06587
PF14447.6	Q06587
PF17121.5	Q06587
PF14569.6	Q06587
PF17123.5	Q06587
PF02891.20	Q06587
PF12773.7	Q06587
PF08214.11	Q09472
PF02172.16	Q09472
PF09030.10	Q09472
PF02135.16	Q09472
PF06001.13	Q09472
PF00439.25	Q09472
PF00569.17	Q09472
PF16987.5	Q09472
PF11707.8	Q09472
PF10513.9	Q09472
PF07714.17	Q12852
PF00069.25	Q12852
PF17667.1	Q12852
PF01636.23	Q12852
PF03540.13	Q12962
PF07524.13	Q12962
PF13465.6	Q13127
PF13909.6	Q13127
PF00096.26	Q13127
PF13894.6	Q13127
PF15247.6	Q13127
PF12756.7	Q13127
PF17226.2	Q13330
PF01426.18	Q13330
PF01448.24	Q13330
PF00320.27	Q13330
PF00249.31	Q13330
PF15963.5	Q13330
PF00850.19	Q13547
PF00888.22	Q13620
PF10557.9	Q13620
PF07516.13	Q13620
PF12229.8	Q13620
PF12718.7	Q13620
PF10226.9	Q13620
PF11155.8	Q13620
PF08209.11	Q14CW9
PF08313.12	Q14CW9
PF13913.6	Q14CW9
PF12235.8	Q14CW9
PF05712.13	Q15014
PF00856.28	Q15047
PF18300.1	Q15047
PF18358.1	Q15047
PF18359.1	Q15047
PF05033.16	Q15047
PF01429.19	Q15047
PF15057.6	Q15047
PF00385.24	Q15047
PF00400.32	Q15291
PF12894.7	Q15291
PF11768.8	Q15291
PF09073.10	Q15291
PF00400.32	Q15542
PF04494.15	Q15542
PF12894.7	Q15542
PF11715.8	Q15542
PF16529.5	Q15542
PF14655.6	Q15542
PF02239.16	Q15542
PF17005.5	Q15542
PF07676.12	Q15542
PF00513.18	Q15542
PF02373.22	Q15652
PF02928.16	Q15652
PF03107.16	Q15652
PF02148.19	Q15652
PF01363.21	Q15652
PF13397.6	Q15652
PF18118.1	Q15910
PF00856.28	Q15910
PF11616.8	Q15910
PF18264.1	Q15910
PF02724.14	Q15910
PF00069.25	Q16512
PF02185.16	Q16512
PF07714.17	Q16512
PF00433.24	Q16512
PF14531.6	Q16512
PF15903.5	Q16512
PF15456.6	Q16512
PF12330.8	Q16512
PF00168.30	Q16512
PF01636.23	Q16512
PF03847.13	Q16514
PF00808.23	Q16514
PF00125.24	Q16514
PF02291.15	Q16514
PF15511.6	Q16514
PF05236.14	Q16514
PF10433.9	Q16531
PF03178.15	Q16531
PF09826.9	Q16531
PF02291.15	Q16594
PF15630.6	Q16594
PF07524.13	Q16594
PF00125.24	Q16594
PF15511.6	Q16594
PF00808.23	Q16594
PF16207.5	Q3KNV8
PF13923.6	Q3KNV8
PF00097.25	Q3KNV8
PF13639.6	Q3KNV8
PF13920.6	Q3KNV8
PF14634.6	Q3KNV8
PF13445.6	Q3KNV8
PF12678.7	Q3KNV8
PF15227.6	Q3KNV8
PF14570.6	Q3KNV8
PF11816.8	Q3KNV8
PF11789.8	Q3KNV8
PF09237.11	Q3KNV8
PF14447.6	Q3KNV8
PF16685.5	Q3KNV8
PF12773.7	Q3KNV8
PF06906.11	Q3KNV8
PF00856.28	Q4FZB7
PF01359.18	Q53H47
PF00856.28	Q53H47
PF17906.1	Q53H47
PF05033.16	Q53H47
PF13565.6	Q53H47
PF13358.6	Q53H47
PF01498.18	Q53H47
PF13384.6	Q53H47
PF13518.6	Q53H47
PF13936.6	Q53H47
PF08279.12	Q53H47
PF13412.6	Q53H47
PF18024.1	Q53H47
PF01022.20	Q53H47
PF01710.16	Q53H47
PF13551.6	Q53H47
PF09669.10	Q53H47
PF14913.6	Q53H47
PF01325.19	Q53H47
PF12802.7	Q53H47
PF17907.1	Q53H47
PF08598.11	Q5PSV4
PF13837.6	Q5PSV4
PF05262.11	Q5PSV4
PF08581.10	Q5PSV4
PF10523.9	Q5T5X7
PF13920.6	Q5VTR2
PF00097.25	Q5VTR2
PF09486.10	Q5VTR2
PF13923.6	Q5VTR2
PF14634.6	Q5VTR2
PF13639.6	Q5VTR2
PF14447.6	Q5VTR2
PF12678.7	Q5VTR2
PF13445.6	Q5VTR2
PF12861.7	Q5VTR2
PF15227.6	Q5VTR2
PF04433.17	Q5VVJ2
PF00249.31	Q5VVJ2
PF01398.21	Q5VVJ2
PF14464.6	Q5VVJ2
PF13921.6	Q5VVJ2
PF15963.5	Q5VVJ2
PF00179.26	Q5VVX9
PF15102.6	Q5VVX9
PF12199.8	Q5VVX9
PF15275.6	Q68DK7
PF16801.5	Q68DK7
PF01763.16	Q68DK7
PF06008.14	Q68DK7
PF10205.9	Q68DK7
PF04977.15	Q68DK7
PF01025.19	Q68DK7
PF02373.22	Q6B0I6
PF02375.17	Q6B0I6
PF13832.6	Q6IE81
PF13771.6	Q6IE81
PF13831.6	Q6IE81
PF00628.29	Q6IE81
PF10513.9	Q6IE81
PF00130.22	Q6IE81
PF03107.16	Q6IE81
PF14446.6	Q6IE81
PF08746.11	Q6IE81
PF01873.17	Q6IE81
PF13639.6	Q6IE81
PF12851.7	Q6N021
PF02373.22	Q6NYC1
PF13621.6	Q6NYC1
PF05110.13	Q6NYC1
PF15761.5	Q6NYC1
PF10500.9	Q6NYC1
PF16050.5	Q6P1J9
PF05179.14	Q6P1J9
PF00515.28	Q6PD62
PF07719.17	Q6PD62
PF14559.6	Q6PD62
PF13181.6	Q6PD62
PF13432.6	Q6PD62
PF13428.6	Q6PD62
PF13424.6	Q6PD62
PF13431.6	Q6PD62
PF13374.6	Q6PD62
PF13414.6	Q6PD62
PF13174.6	Q6PD62
PF13176.6	Q6PD62
PF12895.7	Q6PD62
PF13371.6	Q6PD62
PF16918.5	Q6PD62
PF10579.9	Q6PD62
PF16068.5	Q6PD62
PF09943.9	Q6PD62
PF04910.14	Q6PD62
PF07720.12	Q6PD62
PF01448.24	Q6PJG2
PF00249.31	Q6PJG2
PF03068.15	Q6TGC4
PF08527.10	Q6TGC4
PF08526.10	Q6TGC4
PF00400.32	Q6UXN9
PF12894.7	Q6UXN9
PF08662.11	Q6UXN9
PF11768.8	Q6UXN9
PF07676.12	Q6UXN9
PF03775.16	Q6UXN9
PF15808.5	Q6W2J9
PF16553.5	Q6W2J9
PF12796.7	Q6W2J9
PF13606.6	Q6W2J9
PF13637.6	Q6W2J9
PF13857.6	Q6W2J9
PF00023.30	Q6W2J9
PF17811.1	Q6ZMT4
PF02373.22	Q6ZMT4
PF00628.29	Q6ZMT4
PF13621.6	Q6ZMT4
PF16866.5	Q6ZMT4
PF12738.7	Q6ZW49
PF00533.26	Q6ZW49
PF16589.5	Q6ZW49
PF16770.5	Q6ZW49
PF16759.5	Q6ZW49
PF01745.16	Q6ZW49
PF00443.29	Q70CQ1
PF02148.19	Q70CQ1
PF13423.6	Q70CQ1
PF17807.1	Q70CQ1
PF15499.6	Q70CQ1
PF00443.29	Q70EK9
PF13423.6	Q70EK9
PF02148.19	Q70EK9
PF15499.6	Q70EK9
PF02373.22	Q7LBC6
PF03107.16	Q7LBC6
PF07883.11	Q7LBC6
PF02928.16	Q7LBC6
PF15275.6	Q7Z3B3
PF01448.24	Q7Z3K6
PF00249.31	Q7Z3K6
PF15963.5	Q7Z3K6
PF03127.14	Q7Z3K6
PF11577.8	Q7Z3K6
PF02827.16	Q7Z3K6
PF06025.12	Q7Z6Z7
PF00632.25	Q7Z6Z7
PF14377.6	Q7Z6Z7
PF06012.12	Q7Z6Z7
PF02825.20	Q7Z6Z7
PF00627.31	Q7Z6Z7
PF03730.14	Q7Z6Z7
PF16207.5	Q86SE9
PF13923.6	Q86SE9
PF00097.25	Q86SE9
PF13445.6	Q86SE9
PF15227.6	Q86SE9
PF13639.6	Q86SE9
PF13920.6	Q86SE9
PF14634.6	Q86SE9
PF16685.5	Q86SE9
PF11789.8	Q86SE9
PF14447.6	Q86SE9
PF14835.6	Q86SE9
PF12678.7	Q86SE9
PF17121.5	Q86SE9
PF07191.12	Q86SE9
PF12773.7	Q86SE9
PF09273.11	Q86TU7
PF00856.28	Q86TU7
PF07294.11	Q86TU7
PF02918.15	Q86TU7
PF01359.18	Q86TU7
PF01803.16	Q86U70
PF17916.1	Q86U70
PF00583.25	Q86UY6
PF08445.10	Q86UY6
PF00400.32	Q86VZ2
PF12894.7	Q86VZ2
PF08662.11	Q86VZ2
PF11715.8	Q86VZ2
PF17005.5	Q86VZ2
PF16529.5	Q86VZ2
PF16756.5	Q86VZ2
PF11768.8	Q86VZ2
PF00652.22	Q86VZ2
PF07676.12	Q86VZ2
PF11531.8	Q86X55
PF06325.13	Q86X55
PF13649.6	Q86X55
PF05175.14	Q86X55
PF08003.11	Q86X55
PF08241.12	Q86X55
PF05185.16	Q86X55
PF13847.6	Q86X55
PF13489.6	Q86X55
PF12847.7	Q86X55
PF08242.12	Q86X55
PF02353.20	Q86X55
PF03848.14	Q86X55
PF02475.16	Q86X55
PF03602.15	Q86X55
PF13679.6	Q86X55
PF17286.2	Q86X55
PF13578.6	Q86X55
PF05219.12	Q86X55
PF00856.28	Q86Y97
PF08007.12	Q8IUF8
PF13621.6	Q8IUF8
PF07883.11	Q8IUF8
PF02617.17	Q8IWV8
PF02207.20	Q8IWV8
PF12861.7	Q8IWV8
PF02146.17	Q8IXJ6
PF14169.6	Q8IXJ6
PF16124.5	Q8IXJ6
PF00119.20	A0A178U7J2
PF05722.12	A0A178U7J2
PF03936.16	A0A178U9Y5
PF01397.21	A0A178U9Y5
PF06926.11	A0A178U9Y5
PF03874.16	A0A1I9LMM7
PF00425.18	A0A1I9LMN9
PF04715.13	A0A1I9LMN9
PF04987.14	A0A1I9LQ21
PF01663.22	A0A1I9LQ21
PF00884.23	A0A1I9LQ21
PF01676.18	A0A1I9LQ21
PF13829.6	A0A1I9LQ21
PF07962.12	A0A1I9LR82
PF00098.23	A0A1I9LR82
PF14787.6	A0A1I9LR82
PF13917.6	A0A1I9LR82
PF13696.6	A0A1I9LR82
PF03763.13	A0A1I9LR82
PF00616.19	A0A1I9LR82
PF00696.28	A0A1I9LRT3
PF08616.10	A0A1I9LRT3
PF18255.1	A0A1I9LRT3
PF13292.6	A0A1I9LTC7
PF02779.24	A0A1I9LTC7
PF02780.20	A0A1I9LTC7
PF02775.21	A0A1I9LTC7
PF00676.20	A0A1I9LTC7
PF00456.21	A0A1I9LTC7
PF17147.4	A0A1I9LTC7
PF04722.13	A0A1P8AMK1
PF05327.11	A0A1P8APA8
PF15964.5	A0A1P8APA8
PF03153.13	A0A1P8APF4
PF03950.18	A0A1P8APZ3
PF00176.23	A0A1P8AQE4
PF00271.31	A0A1P8AQE4
PF05621.11	A0A1P8AQE4
PF04851.15	A0A1P8AQE4
PF07443.13	A0A1P8AQE4
PF00270.29	A0A1P8AQE4
PF16203.5	A0A1P8AQE4
PF13871.6	A0A1P8AQE4
PF00891.18	A0A1P8AS31
PF08100.11	A0A1P8AS31
PF05891.12	A0A1P8AS31
PF09243.10	A0A1P8AS31
PF04182.12	A0A1P8AST1
PF12802.7	A0A1P8AST1
PF17007.5	A0A1P8AST1
PF13551.6	A0A1P8AST1
PF01978.19	A0A1P8AST1
PF08282.12	A0A1P8AST1
PF13412.6	A0A1P8AST1
PF13463.6	A0A1P8AST1
PF08696.11	A0A1P8ASY1
PF13087.6	A0A1P8ASY1
PF13086.6	A0A1P8ASY1
PF13604.6	A0A1P8ASY1
PF13245.6	A0A1P8ASY1
PF12705.7	A0A1P8ASY1
PF01930.17	A0A1P8ASY1
PF01443.18	A0A1P8ASY1
PF00580.21	A0A1P8ASY1
PF05127.14	A0A1P8ASY1
PF13361.6	A0A1P8ASY1
PF04851.15	A0A1P8ASY1
PF01008.17	A0A1P8AT59
PF04525.12	A0A1P8AT59
PF01008.17	A0A1P8AVS2
PF18097.1	A0A1P8AVS2
PF05916.11	A0A1P8AW53
PF03790.13	A0A1P8AW93
PF03798.16	A0A1P8AW96
PF08390.11	A0A1P8AW96
PF06989.12	A0A1P8AW96
PF12738.7	A0A1P8AWF3
PF00533.26	A0A1P8AWF3
PF16589.5	A0A1P8AWF3
PF16759.5	A0A1P8AWF3
PF16770.5	A0A1P8AWF3
PF15382.6	A0A1P8AWF3
PF18428.1	A0A1P8AWF3
PF03462.18	A0A1P8AYS2
PF00472.20	A0A1P8AYS2
PF15291.6	A0A1P8AYS2
PF01648.20	A0A1P8B2C9
PF05563.12	A0A1P8B2C9
PF00962.22	A0A1P8B4J3
PF06418.14	A0A1P8B6F9
PF00117.28	A0A1P8B6F9
PF07722.13	A0A1P8B6F9
PF01656.23	A0A1P8B6F9
PF00583.25	A0A1P8B7P8
PF13508.7	A0A1P8B7P8
PF13673.7	A0A1P8B7P8
PF05029.13	A0A1P8B9S9
PF04821.14	A0A1P8B9S9
PF10361.9	A0A1P8B9S9
PF01873.17	A0A1P8BFD8
PF11724.8	A0A1P8BFD8
PF08271.12	A0A1P8BFD8
PF00177.21	A0A2P2CLF5
PF15120.6	A0A2P2CLF5
PF00006.25	A0A2P2CLF9
PF00306.27	A0A2P2CLF9
PF02874.23	A0A2P2CLF9
PF09378.10	A0A2P2CLF9
PF00181.23	A0A2P2CLG6
PF00164.25	A0A2P2CLH1
PF01471.18	A1A6M1
PF00684.19	A1A6M1
PF11932.8	A1A6M1
PF08823.11	A1A6M1
PF04312.13	A1A6M1
PF07926.12	A1A6M1
PF01166.18	A1A6M1
PF00817.20	A3EWL3
PF11799.8	A3EWL3
PF16589.5	A3EWL3
PF16759.5	A3EWL3
PF00533.26	A3EWL3
PF12738.7	A3EWL3
PF11798.8	A3EWL3
PF18182.1	A3EWL3
PF14377.6	A3EWL3
PF08827.11	A3EWL3
PF03936.16	A4FVP2
PF01397.21	A4FVP2
PF02666.15	A4GNA8
PF00036.32	A4GNA8
PF13202.6	A4GNA8
PF13833.6	A4GNA8
PF13405.6	A4GNA8
PF13499.6	A4GNA8
PF00168.30	A4GNA8
PF12763.7	A4GNA8
PF10358.9	A4GNA8
PF00337.22	A7XDQ9
PF01762.21	A7XDQ9
PF02434.16	A7XDQ9
PF00282.19	A8MQJ1
PF01212.21	A8MQJ1
PF00155.21	A8MQJ1
PF03090.17	A8MQJ1
PF00266.19	A8MQJ1
PF00149.28	A8MQN4
PF12850.7	A8MQN4
PF13896.6	A8MQN4
PF00475.18	A8MQQ8
